"target","0","1","Total","p"
"","(N=528)","(N=297)","(N=825)",""
"outcome_dementia           ","","","","0.957"
"  - 0                      ","519 (98.3%)","291 (98.0%)","810 (98.2%)",""
"  - 1                      ","9 ( 1.7%)","6 ( 2.0%)","15 ( 1.8%)",""
"outcome_dementia_time      ","104.7 ± 541.5","170.3 ± 671.8","128.3 ± 592.1","0.150"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","528 (100.0%)","297 (100.0%)","825 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","528 (100.0%)","297 (100.0%)","825 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","528 (100.0%)","297 (100.0%)","825 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","528 (100.0%)","297 (100.0%)","825 (100.0%)",""
"outcome_dementia_other     ","","","","0.957"
"  - 0                      ","519 (98.3%)","291 (98.0%)","810 (98.2%)",""
"  - 1                      ","9 ( 1.7%)","6 ( 2.0%)","15 ( 1.8%)",""
"outcome_dementia_other_time","","","","0.957"
"  - 0                      ","519 (98.3%)","291 (98.0%)","810 (98.2%)",""
"  - 1                      ","9 ( 1.7%)","6 ( 2.0%)","15 ( 1.8%)",""
"outcome_parkinson          ","","","","0.254"
"  - 0                      ","521 (98.7%)","289 (97.3%)","810 (98.2%)",""
"  - 1                      ","7 ( 1.3%)","8 ( 2.7%)","15 ( 1.8%)",""
"outcome_parkinson_time     ","40.0 ± 388.2","36.0 ± 271.5","38.6 ± 350.5","0.865"
"person_age                 ","73.4 ±  2.6","74.1 ±  2.8","73.7 ±  2.7","0.000"
"age_group                  ","","","",""
"  - 4                      ","528 (100.0%)","297 (100.0%)","825 (100.0%)",""
"cci                        "," 2.4 ±  0.9"," 2.4 ±  0.9"," 2.4 ±  0.9","0.488"
"cci_group                  ","","","","0.465"
"  - 1                      ","485 (91.9%)","275 (92.6%)","760 (92.1%)",""
"  - 2                      ","35 ( 6.6%)","15 ( 5.1%)","50 ( 6.1%)",""
"  - 3                      ","8 ( 1.5%)","7 ( 2.4%)","15 ( 1.8%)",""
"hypertension               ","","","","0.927"
"  - 0                      ","463 (87.7%)","259 (87.2%)","722 (87.5%)",""
"  - 1                      ","65 (12.3%)","38 (12.8%)","103 (12.5%)",""
"diabetes                   ","","","","0.827"
"  - 0                      ","482 (91.3%)","269 (90.6%)","751 (91.0%)",""
"  - 1                      ","46 ( 8.7%)","28 ( 9.4%)","74 ( 9.0%)",""
"dyslipidemia               ","","","","0.137"
"  - 0                      ","487 (92.2%)","264 (88.9%)","751 (91.0%)",""
"  - 1                      ","41 ( 7.8%)","33 (11.1%)","74 ( 9.0%)",""
"cardiovascular_disease     ","","","","0.796"
"  - 0                      ","443 (83.9%)","252 (84.8%)","695 (84.2%)",""
"  - 1                      ","85 (16.1%)","45 (15.2%)","130 (15.8%)",""
"peripheral_vascular_disease","","","","0.412"
"  - 0                      ","521 (98.7%)","290 (97.6%)","811 (98.3%)",""
"  - 1                      ","7 ( 1.3%)","7 ( 2.4%)","14 ( 1.7%)",""
"copd                       ","","","","0.226"
"  - 0                      ","499 (94.5%)","287 (96.6%)","786 (95.3%)",""
"  - 1                      ","29 ( 5.5%)","10 ( 3.4%)","39 ( 4.7%)",""
"asthma                     ","","","","0.257"
"  - 0                      ","514 (97.3%)","284 (95.6%)","798 (96.7%)",""
"  - 1                      ","14 ( 2.7%)","13 ( 4.4%)","27 ( 3.3%)",""
"liver_disease              ","","","","0.423"
"  - 0                      ","513 (97.2%)","292 (98.3%)","805 (97.6%)",""
"  - 1                      ","15 ( 2.8%)","5 ( 1.7%)","20 ( 2.4%)",""
"statin                     ","","","","0.041"
"  - 0                      ","458 (86.7%)","241 (81.1%)","699 (84.7%)",""
"  - 1                      ","70 (13.3%)","56 (18.9%)","126 (15.3%)",""
"antiplatelet               ","","","","0.043"
"  - 0                      ","450 (85.2%)","236 (79.5%)","686 (83.2%)",""
"  - 1                      ","78 (14.8%)","61 (20.5%)","139 (16.8%)",""
"anticoagulant              ","","","","1.000"
"  - 0                      ","517 (97.9%)","291 (98.0%)","808 (97.9%)",""
"  - 1                      ","11 ( 2.1%)","6 ( 2.0%)","17 ( 2.1%)",""
"anticholinergic            ","","","","0.000"
"  - 0                      ","294 (55.7%)","258 (86.9%)","552 (66.9%)",""
"  - 1                      ","234 (44.3%)","39 (13.1%)","273 (33.1%)",""
"antidepressant             ","","","","0.000"
"  - 0                      ","345 (65.3%)","266 (89.6%)","611 (74.1%)",""
"  - 1                      ","183 (34.7%)","31 (10.4%)","214 (25.9%)",""
"antipsychotics             ","","","","0.779"
"  - 0                      ","524 (99.2%)","296 (99.7%)","820 (99.4%)",""
"  - 1                      ","4 ( 0.8%)","1 ( 0.3%)","5 ( 0.6%)",""
"urin_anticholinergic       ","","","","0.000"
"  - 0                      ","384 (72.7%)","154 (51.9%)","538 (65.2%)",""
"  - 1                      ","144 (27.3%)","143 (48.1%)","287 (34.8%)",""
"urin_antidepressant        ","","","","0.146"
"  - 0                      ","384 (72.7%)","201 (67.7%)","585 (70.9%)",""
"  - 1                      ","144 (27.3%)","96 (32.3%)","240 (29.1%)",""
"metastatic_cancer          ","","","","1.000"
"  - 0                      ","523 (99.1%)","294 (99.0%)","817 (99.0%)",""
"  - 1                      ","5 ( 0.9%)","3 ( 1.0%)","8 ( 1.0%)",""
