"target","0","1","Total","p"
"","(N=297)","(N=297)","(N=594)",""
"outcome_dementia           ","","","","1.000"
"  - 0                      ","292 (98.3%)","291 (98.0%)","583 (98.1%)",""
"  - 1                      ","5 ( 1.7%)","6 ( 2.0%)","11 ( 1.9%)",""
"outcome_dementia_time      ","85.2 ± 472.2","170.3 ± 671.8","127.7 ± 581.7","0.075"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","297 (100.0%)","297 (100.0%)","594 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","297 (100.0%)","297 (100.0%)","594 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","297 (100.0%)","297 (100.0%)","594 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","297 (100.0%)","297 (100.0%)","594 (100.0%)",""
"outcome_dementia_other     ","","","","1.000"
"  - 0                      ","292 (98.3%)","291 (98.0%)","583 (98.1%)",""
"  - 1                      ","5 ( 1.7%)","6 ( 2.0%)","11 ( 1.9%)",""
"outcome_dementia_other_time","","","","1.000"
"  - 0                      ","292 (98.3%)","291 (98.0%)","583 (98.1%)",""
"  - 1                      ","5 ( 1.7%)","6 ( 2.0%)","11 ( 1.9%)",""
"outcome_parkinson          ","","","","0.382"
"  - 0                      ","293 (98.7%)","289 (97.3%)","582 (98.0%)",""
"  - 1                      ","4 ( 1.3%)","8 ( 2.7%)","12 ( 2.0%)",""
"outcome_parkinson_time     ","48.3 ± 446.2","36.0 ± 271.5","42.2 ± 369.1","0.685"
"person_age                 ","73.3 ±  2.6","74.1 ±  2.8","73.7 ±  2.7","0.000"
"age_group                  ","","","",""
"  - 4                      ","297 (100.0%)","297 (100.0%)","594 (100.0%)",""
"cci                        "," 2.4 ±  1.0"," 2.4 ±  0.9"," 2.4 ±  1.0","0.866"
"cci_group                  ","","","","0.928"
"  - 1                      ","277 (93.3%)","275 (92.6%)","552 (92.9%)",""
"  - 2                      ","13 ( 4.4%)","15 ( 5.1%)","28 ( 4.7%)",""
"  - 3                      ","7 ( 2.4%)","7 ( 2.4%)","14 ( 2.4%)",""
"hypertension               ","","","","0.901"
"  - 0                      ","261 (87.9%)","259 (87.2%)","520 (87.5%)",""
"  - 1                      ","36 (12.1%)","38 (12.8%)","74 (12.5%)",""
"diabetes                   ","","","","0.167"
"  - 0                      ","279 (93.9%)","269 (90.6%)","548 (92.3%)",""
"  - 1                      ","18 ( 6.1%)","28 ( 9.4%)","46 ( 7.7%)",""
"dyslipidemia               ","","","","0.790"
"  - 0                      ","267 (89.9%)","264 (88.9%)","531 (89.4%)",""
"  - 1                      ","30 (10.1%)","33 (11.1%)","63 (10.6%)",""
"cardiovascular_disease     ","","","","0.478"
"  - 0                      ","259 (87.2%)","252 (84.8%)","511 (86.0%)",""
"  - 1                      ","38 (12.8%)","45 (15.2%)","83 (14.0%)",""
"peripheral_vascular_disease","","","","1.000"
"  - 0                      ","291 (98.0%)","290 (97.6%)","581 (97.8%)",""
"  - 1                      ","6 ( 2.0%)","7 ( 2.4%)","13 ( 2.2%)",""
"copd                       ","","","","0.447"
"  - 0                      ","291 (98.0%)","287 (96.6%)","578 (97.3%)",""
"  - 1                      ","6 ( 2.0%)","10 ( 3.4%)","16 ( 2.7%)",""
"asthma                     ","","","","0.835"
"  - 0                      ","286 (96.3%)","284 (95.6%)","570 (96.0%)",""
"  - 1                      ","11 ( 3.7%)","13 ( 4.4%)","24 ( 4.0%)",""
"liver_disease              ","","","","0.722"
"  - 0                      ","294 (99.0%)","292 (98.3%)","586 (98.7%)",""
"  - 1                      ","3 ( 1.0%)","5 ( 1.7%)","8 ( 1.3%)",""
"statin                     ","","","","0.450"
"  - 0                      ","249 (83.8%)","241 (81.1%)","490 (82.5%)",""
"  - 1                      ","48 (16.2%)","56 (18.9%)","104 (17.5%)",""
"antiplatelet               ","","","","0.293"
"  - 0                      ","247 (83.2%)","236 (79.5%)","483 (81.3%)",""
"  - 1                      ","50 (16.8%)","61 (20.5%)","111 (18.7%)",""
"anticoagulant              ","","","","0.750"
"  - 0                      ","293 (98.7%)","291 (98.0%)","584 (98.3%)",""
"  - 1                      ","4 ( 1.3%)","6 ( 2.0%)","10 ( 1.7%)",""
"anticholinergic            ","","","","0.000"
"  - 0                      ","171 (57.6%)","258 (86.9%)","429 (72.2%)",""
"  - 1                      ","126 (42.4%)","39 (13.1%)","165 (27.8%)",""
"antidepressant             ","","","","0.000"
"  - 0                      ","188 (63.3%)","266 (89.6%)","454 (76.4%)",""
"  - 1                      ","109 (36.7%)","31 (10.4%)","140 (23.6%)",""
"antipsychotics             ","","","","0.616"
"  - 0                      ","294 (99.0%)","296 (99.7%)","590 (99.3%)",""
"  - 1                      ","3 ( 1.0%)","1 ( 0.3%)","4 ( 0.7%)",""
"urin_anticholinergic       ","","","","0.000"
"  - 0                      ","220 (74.1%)","154 (51.9%)","374 (63.0%)",""
"  - 1                      ","77 (25.9%)","143 (48.1%)","220 (37.0%)",""
"urin_antidepressant        ","","","","0.244"
"  - 0                      ","215 (72.4%)","201 (67.7%)","416 (70.0%)",""
"  - 1                      ","82 (27.6%)","96 (32.3%)","178 (30.0%)",""
"metastatic_cancer          ","","","","1.000"
"  - 0                      ","293 (98.7%)","294 (99.0%)","587 (98.8%)",""
"  - 1                      ","4 ( 1.3%)","3 ( 1.0%)","7 ( 1.2%)",""
