"","Variable","Means Treated Full","Means Control Full","StdMD Full","Means Treated PSM","Means Control PSM","StdMD PSM","NA","NA","NA","NA"
"1","anticholinergic0",0.869,0.557,0.923,0.869,0.576,0.867,NA,0.293,0.293,NA
"2","anticholinergic1",0.131,0.443,-0.923,0.131,0.424,-0.867,NA,0.293,0.293,NA
"3","anticoagulant0",0.98,0.979,0.004,0.98,0.987,-0.048,NA,0.007,0.007,NA
"4","anticoagulant1",0.02,0.021,-0.004,0.02,0.013,0.048,NA,0.007,0.007,NA
"5","antidepressant0",0.896,0.653,0.792,0.896,0.633,0.859,NA,0.263,0.263,NA
"6","antidepressant1",0.104,0.347,-0.792,0.104,0.367,-0.859,NA,0.263,0.263,NA
"7","antiplatelet0",0.795,0.852,-0.143,0.795,0.832,-0.092,NA,0.037,0.037,NA
"8","antiplatelet1",0.205,0.148,0.143,0.205,0.168,0.092,NA,0.037,0.037,NA
"9","antipsychotics0",0.997,0.992,0.073,0.997,0.99,0.116,NA,0.007,0.007,NA
"10","antipsychotics1",0.003,0.008,-0.073,0.003,0.01,-0.116,NA,0.007,0.007,NA
"11","asthma0",0.956,0.973,-0.084,0.956,0.963,-0.033,NA,0.007,0.007,NA
"12","asthma1",0.044,0.027,0.084,0.044,0.037,0.033,NA,0.007,0.007,NA
"13","cardiovascular_disease0",0.848,0.839,0.026,0.848,0.872,-0.066,NA,0.024,0.024,NA
"14","cardiovascular_disease1",0.152,0.161,-0.026,0.152,0.128,0.066,NA,0.024,0.024,NA
"15","cci",2.377,2.424,-0.05,2.377,2.391,-0.014,0.901,0.004,0.013,NA
"16","cci_group1",0.926,0.919,0.028,0.926,0.933,-0.026,NA,0.007,0.007,NA
"17","cci_group2",0.051,0.066,-0.072,0.051,0.044,0.031,NA,0.007,0.007,NA
"18","cci_group3",0.024,0.015,0.055,0.024,0.024,0,NA,0,0,NA
"19","copd0",0.966,0.945,0.118,0.966,0.98,-0.075,NA,0.013,0.013,NA
"20","copd1",0.034,0.055,-0.118,0.034,0.02,0.075,NA,0.013,0.013,NA
"21","diabetes0",0.906,0.913,-0.024,0.906,0.939,-0.115,NA,0.034,0.034,NA
"22","diabetes1",0.094,0.087,0.024,0.094,0.061,0.115,NA,0.034,0.034,NA
"23","distance",0.47,0.298,1.098,0.594,0.406,1.175,0.491,0.215,0.38,NA
"24","dyslipidemia0",0.889,0.922,-0.106,0.889,0.899,-0.032,NA,0.01,0.01,NA
"25","dyslipidemia1",0.111,0.078,0.106,0.111,0.101,0.032,NA,0.01,0.01,NA
"26","hypertension0",0.872,0.877,-0.014,0.872,0.879,-0.02,NA,0.007,0.007,NA
"27","hypertension1",0.128,0.123,0.014,0.128,0.121,0.02,NA,0.007,0.007,NA
"28","liver_disease0",0.983,0.972,0.09,0.983,0.99,-0.052,NA,0.007,0.007,NA
"29","liver_disease1",0.017,0.028,-0.09,0.017,0.01,0.052,NA,0.007,0.007,NA
"30","metastatic_cancer0",0.99,0.991,-0.006,0.99,0.987,0.034,NA,0.003,0.003,NA
"31","metastatic_cancer1",0.01,0.009,0.006,0.01,0.013,-0.034,NA,0.003,0.003,NA
"32","peripheral_vascular_disease0",0.976,0.987,-0.068,0.976,0.98,-0.022,NA,0.003,0.003,NA
"33","peripheral_vascular_disease1",0.024,0.013,0.068,0.024,0.02,0.022,NA,0.003,0.003,NA
"34","person_age",74.101,73.422,0.246,74.101,73.316,0.284,1.169,0.078,0.111,NA
"35","statin0",0.811,0.867,-0.143,0.811,0.838,-0.069,NA,0.027,0.027,NA
"36","statin1",0.189,0.133,0.143,0.189,0.162,0.069,NA,0.027,0.027,NA
