"","Variable","Means Treated Full","Means Control Full","StdMD Full","Means Treated PSM","Means Control PSM","StdMD PSM","NA","NA","NA","NA"
"1","age_group1",0.004,0.015,-0.185,0.004,0.004,0,NA,0,0,NA
"2","age_group2",0.066,0.11,-0.18,0.066,0.077,-0.047,NA,0.012,0.012,NA
"3","age_group3",0.358,0.425,-0.138,0.358,0.351,0.016,NA,0.008,0.008,NA
"4","age_group4",0.572,0.45,0.247,0.572,0.568,0.008,NA,0.004,0.004,NA
"5","anticholinergic0",0.882,0.581,0.937,0.882,0.584,0.927,NA,0.299,0.299,NA
"6","anticholinergic1",0.118,0.419,-0.937,0.118,0.416,-0.927,NA,0.299,0.299,NA
"7","anticoagulant0",0.981,0.986,-0.035,0.981,0.983,-0.014,NA,0.002,0.002,NA
"8","anticoagulant1",0.019,0.014,0.035,0.019,0.017,0.014,NA,0.002,0.002,NA
"9","antidepressant0",0.879,0.645,0.717,0.879,0.642,0.726,NA,0.237,0.237,NA
"10","antidepressant1",0.121,0.355,-0.717,0.121,0.358,-0.726,NA,0.237,0.237,NA
"11","antiplatelet0",0.83,0.869,-0.102,0.83,0.84,-0.026,NA,0.01,0.01,NA
"12","antiplatelet1",0.17,0.131,0.102,0.17,0.16,0.026,NA,0.01,0.01,NA
"13","antipsychotics0",0.994,0.992,0.025,0.994,0.99,0.051,NA,0.004,0.004,NA
"14","antipsychotics1",0.006,0.008,-0.025,0.006,0.01,-0.051,NA,0.004,0.004,NA
"15","asthma0",0.973,0.979,-0.035,0.973,0.973,0,NA,0,0,NA
"16","asthma1",0.027,0.021,0.035,0.027,0.027,0,NA,0,0,NA
"17","cardiovascular_disease0",0.865,0.862,0.009,0.865,0.877,-0.034,NA,0.012,0.012,NA
"18","cardiovascular_disease1",0.135,0.138,-0.009,0.135,0.123,0.034,NA,0.012,0.012,NA
"19","cci",2.434,2.376,0.051,2.434,2.345,0.079,1.525,0.011,0.027,NA
"20","cci_group0",0,0.003,-0.061,NA,NA,NA,NA,NA,NA,NA
"21","cci_group1",0.917,0.925,-0.028,0.917,0.944,-0.098,NA,0.027,0.027,NA
"22","cci_group2",0.052,0.06,-0.034,0.052,0.037,0.069,NA,0.015,0.015,NA
"23","cci_group3",0.031,0.013,0.104,0.031,0.019,0.067,NA,0.012,0.012,NA
"24","copd0",0.977,0.956,0.141,0.977,0.987,-0.064,NA,0.01,0.01,NA
"25","copd1",0.023,0.044,-0.141,0.023,0.013,0.064,NA,0.01,0.01,NA
"26","diabetes0",0.909,0.923,-0.048,0.909,0.925,-0.054,NA,0.015,0.015,NA
"27","diabetes1",0.091,0.077,0.048,0.091,0.075,0.054,NA,0.015,0.015,NA
"28","distance",0.412,0.26,1.019,0.583,0.417,1.122,0.454,0.203,0.362,NA
"29","dyslipidemia0",0.898,0.905,-0.025,0.898,0.917,-0.064,NA,0.019,0.019,NA
"30","dyslipidemia1",0.102,0.095,0.025,0.102,0.083,0.064,NA,0.019,0.019,NA
"31","hypertension0",0.877,0.861,0.048,0.877,0.898,-0.064,NA,0.021,0.021,NA
"32","hypertension1",0.123,0.139,-0.048,0.123,0.102,0.064,NA,0.021,0.021,NA
"33","liver_disease0",0.973,0.975,-0.014,0.973,0.973,0,NA,0,0,NA
"34","liver_disease1",0.027,0.025,0.014,0.027,0.027,0,NA,0,0,NA
"35","metastatic_cancer0",0.977,0.991,-0.097,0.977,0.988,-0.077,NA,0.012,0.012,NA
"36","metastatic_cancer1",0.023,0.009,0.097,0.023,0.012,0.077,NA,0.012,0.012,NA
"37","peripheral_vascular_disease0",0.983,0.987,-0.035,0.983,0.992,-0.074,NA,0.01,0.01,NA
"38","peripheral_vascular_disease1",0.017,0.013,0.035,0.017,0.008,0.074,NA,0.01,0.01,NA
"39","person_age",69.721,67.739,0.319,69.721,69.158,0.091,1.027,0.018,0.056,NA
"40","statin0",0.844,0.869,-0.068,0.844,0.854,-0.027,NA,0.01,0.01,NA
"41","statin1",0.156,0.131,0.068,0.156,0.146,0.027,NA,0.01,0.01,NA
