"target","0","1","Total","p"
"","(N=222)","(N=222)","(N=444)",""
"outcome_dementia           ","","","","0.380"
"  - 0                      ","218 (98.2%)","214 (96.4%)","432 (97.3%)",""
"  - 1                      ","4 ( 1.8%)","8 ( 3.6%)","12 ( 2.7%)",""
"outcome_dementia_time      ","58.8 ± 381.9","92.4 ± 551.9","75.6 ± 474.3","0.456"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","222 (100.0%)","222 (100.0%)","444 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","222 (100.0%)","222 (100.0%)","444 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","222 (100.0%)","222 (100.0%)","444 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","222 (100.0%)","222 (100.0%)","444 (100.0%)",""
"outcome_dementia_other     ","","","","0.380"
"  - 0                      ","218 (98.2%)","214 (96.4%)","432 (97.3%)",""
"  - 1                      ","4 ( 1.8%)","8 ( 3.6%)","12 ( 2.7%)",""
"outcome_dementia_other_time","","","","0.380"
"  - 0                      ","218 (98.2%)","214 (96.4%)","432 (97.3%)",""
"  - 1                      ","4 ( 1.8%)","8 ( 3.6%)","12 ( 2.7%)",""
"outcome_parkinson          ","","","","1.000"
"  - 0                      ","221 (99.5%)","221 (99.5%)","442 (99.5%)",""
"  - 1                      ","1 ( 0.5%)","1 ( 0.5%)","2 ( 0.5%)",""
"outcome_parkinson_time     ","","","","0.368"
"  - 0                      ","221 (99.5%)","221 (99.5%)","442 (99.5%)",""
"  - 2247                   ","1 ( 0.5%)"," 0 ( 0.0%)","1 ( 0.2%)",""
"  - 3998                   "," 0 ( 0.0%)","1 ( 0.5%)","1 ( 0.2%)",""
"person_age                 ","63.7 ±  4.6","63.9 ±  4.4","63.8 ±  4.5","0.715"
"age_group                  ","","","","0.991"
"  - 1                      ","2 ( 0.9%)","2 ( 0.9%)","4 ( 0.9%)",""
"  - 2                      ","35 (15.8%)","34 (15.3%)","69 (15.5%)",""
"  - 3                      ","185 (83.3%)","186 (83.8%)","371 (83.6%)",""
"cci                        "," 2.4 ±  1.1"," 2.5 ±  1.3"," 2.5 ±  1.2","0.512"
"cci_group                  ","","","","0.864"
"  - 1                      ","202 (91.0%)","201 (90.5%)","403 (90.8%)",""
"  - 2                      ","13 ( 5.9%)","12 ( 5.4%)","25 ( 5.6%)",""
"  - 3                      ","7 ( 3.2%)","9 ( 4.1%)","16 ( 3.6%)",""
"hypertension               ","","","","0.881"
"  - 0                      ","198 (89.2%)","196 (88.3%)","394 (88.7%)",""
"  - 1                      ","24 (10.8%)","26 (11.7%)","50 (11.3%)",""
"diabetes                   ","","","","0.862"
"  - 0                      ","205 (92.3%)","203 (91.4%)","408 (91.9%)",""
"  - 1                      ","17 ( 7.7%)","19 ( 8.6%)","36 ( 8.1%)",""
"dyslipidemia               ","","","","0.871"
"  - 0                      ","200 (90.1%)","202 (91.0%)","402 (90.5%)",""
