"target","0","1","Total","p"
"","(N=1173)","(N=519)","(N=1692)",""
"outcome_dementia           ","","","","0.086"
"  - 0                      ","1157 (98.6%)","505 (97.3%)","1662 (98.2%)",""
"  - 1                      ","16 ( 1.4%)","14 ( 2.7%)","30 ( 1.8%)",""
"outcome_dementia_time      ","70.2 ± 434.5","137.0 ± 623.9","90.7 ± 501.0","0.027"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","1173 (100.0%)","519 (100.0%)","1692 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","1173 (100.0%)","519 (100.0%)","1692 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","1173 (100.0%)","519 (100.0%)","1692 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","1173 (100.0%)","519 (100.0%)","1692 (100.0%)",""
"outcome_dementia_other     ","","","","0.086"
"  - 0                      ","1157 (98.6%)","505 (97.3%)","1662 (98.2%)",""
"  - 1                      ","16 ( 1.4%)","14 ( 2.7%)","30 ( 1.8%)",""
"outcome_dementia_other_time","","","","0.086"
"  - 0                      ","1157 (98.6%)","505 (97.3%)","1662 (98.2%)",""
"  - 1                      ","16 ( 1.4%)","14 ( 2.7%)","30 ( 1.8%)",""
"outcome_parkinson          ","","","","0.415"
"  - 0                      ","1160 (98.9%)","510 (98.3%)","1670 (98.7%)",""
"  - 1                      ","13 ( 1.1%)","9 ( 1.7%)","22 ( 1.3%)",""
"outcome_parkinson_time     ","30.1 ± 314.0","28.3 ± 270.0","29.5 ± 301.1","0.908"
"person_age                 ","67.7 ±  6.7","69.7 ±  6.2","68.3 ±  6.6","0.000"
"age_group                  ","","","","0.000"
"  - 1                      ","18 ( 1.5%)","2 ( 0.4%)","20 ( 1.2%)",""
"  - 2                      ","129 (11.0%)","34 ( 6.6%)","163 ( 9.6%)",""
"  - 3                      ","498 (42.5%)","186 (35.8%)","684 (40.4%)",""
"  - 4                      ","528 (45.0%)","297 (57.2%)","825 (48.8%)",""
"cci                        "," 2.4 ±  0.9"," 2.4 ±  1.1"," 2.4 ±  1.0","0.300"
"cci_group                  ","","","","0.044"
"  - 0                      ","3 ( 0.3%)"," 0 ( 0.0%)","3 ( 0.2%)",""
"  - 1                      ","1085 (92.5%)","476 (91.7%)","1561 (92.3%)",""
"  - 2                      ","70 ( 6.0%)","27 ( 5.2%)","97 ( 5.7%)",""
"  - 3                      ","15 ( 1.3%)","16 ( 3.1%)","31 ( 1.8%)",""
"hypertension               ","","","","0.428"
"  - 0                      ","1010 (86.1%)","455 (87.7%)","1465 (86.6%)",""
"  - 1                      ","163 (13.9%)","64 (12.3%)","227 (13.4%)",""
"diabetes                   ","","","","0.387"
"  - 0                      ","1083 (92.3%)","472 (90.9%)","1555 (91.9%)",""
"  - 1                      ","90 ( 7.7%)","47 ( 9.1%)","137 ( 8.1%)",""
"dyslipidemia               ","","","","0.696"
"  - 0                      ","1062 (90.5%)","466 (89.8%)","1528 (90.3%)",""
"  - 1                      ","111 ( 9.5%)","53 (10.2%)","164 ( 9.7%)",""
"cardiovascular_disease     ","","","","0.919"
"  - 0                      ","1011 (86.2%)","449 (86.5%)","1460 (86.3%)",""
"  - 1                      ","162 (13.8%)","70 (13.5%)","232 (13.7%)",""
"peripheral_vascular_disease","","","","0.612"
"  - 0                      ","1158 (98.7%)","510 (98.3%)","1668 (98.6%)",""
"  - 1                      ","15 ( 1.3%)","9 ( 1.7%)","24 ( 1.4%)",""
"copd                       ","","","","0.049"
"  - 0                      ","1121 (95.6%)","507 (97.7%)","1628 (96.2%)",""
"  - 1                      ","52 ( 4.4%)","12 ( 2.3%)","64 ( 3.8%)",""
"asthma                     ","","","","0.589"
"  - 0                      ","1148 (97.9%)","505 (97.3%)","1653 (97.7%)",""
"  - 1                      ","25 ( 2.1%)","14 ( 2.7%)","39 ( 2.3%)",""
"liver_disease              ","","","","0.917"
"  - 0                      ","1144 (97.5%)","505 (97.3%)","1649 (97.5%)",""
"  - 1                      ","29 ( 2.5%)","14 ( 2.7%)","43 ( 2.5%)",""
"statin                     ","","","","0.199"
"  - 0                      ","1019 (86.9%)","438 (84.4%)","1457 (86.1%)",""
"  - 1                      ","154 (13.1%)","81 (15.6%)","235 (13.9%)",""
"antiplatelet               ","","","","0.046"
"  - 0                      ","1019 (86.9%)","431 (83.0%)","1450 (85.7%)",""
"  - 1                      ","154 (13.1%)","88 (17.0%)","242 (14.3%)",""
"anticoagulant              ","","","","0.608"
"  - 0                      ","1156 (98.6%)","509 (98.1%)","1665 (98.4%)",""
"  - 1                      ","17 ( 1.4%)","10 ( 1.9%)","27 ( 1.6%)",""
"anticholinergic            ","","","","0.000"
"  - 0                      ","681 (58.1%)","458 (88.2%)","1139 (67.3%)",""
"  - 1                      ","492 (41.9%)","61 (11.8%)","553 (32.7%)",""
"antidepressant             ","","","","0.000"
"  - 0                      ","756 (64.5%)","456 (87.9%)","1212 (71.6%)",""
"  - 1                      ","417 (35.5%)","63 (12.1%)","480 (28.4%)",""
"antipsychotics             ","","","","0.910"
"  - 0                      ","1164 (99.2%)","516 (99.4%)","1680 (99.3%)",""
"  - 1                      ","9 ( 0.8%)","3 ( 0.6%)","12 ( 0.7%)",""
"urin_anticholinergic       ","","","","0.000"
"  - 0                      ","899 (76.6%)","251 (48.4%)","1150 (68.0%)",""
"  - 1                      ","274 (23.4%)","268 (51.6%)","542 (32.0%)",""
"urin_antidepressant        ","","","","0.000"
"  - 0                      ","882 (75.2%)","343 (66.1%)","1225 (72.4%)",""
"  - 1                      ","291 (24.8%)","176 (33.9%)","467 (27.6%)",""
"metastatic_cancer          ","","","","0.027"
"  - 0                      ","1163 (99.1%)","507 (97.7%)","1670 (98.7%)",""
"  - 1                      ","10 ( 0.9%)","12 ( 2.3%)","22 ( 1.3%)",""
