"target","0","1","Total","p"
"","(N=519)","(N=519)","(N=1038)",""
"outcome_dementia           ","","","","0.399"
"  - 0                      ","510 (98.3%)","505 (97.3%)","1015 (97.8%)",""
"  - 1                      ","9 ( 1.7%)","14 ( 2.7%)","23 ( 2.2%)",""
"outcome_dementia_time      ","77.8 ± 456.5","137.0 ± 623.9","107.4 ± 547.2","0.081"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","519 (100.0%)","519 (100.0%)","1038 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","519 (100.0%)","519 (100.0%)","1038 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","519 (100.0%)","519 (100.0%)","1038 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","519 (100.0%)","519 (100.0%)","1038 (100.0%)",""
"outcome_dementia_other     ","","","","0.399"
"  - 0                      ","510 (98.3%)","505 (97.3%)","1015 (97.8%)",""
"  - 1                      ","9 ( 1.7%)","14 ( 2.7%)","23 ( 2.2%)",""
"outcome_dementia_other_time","","","","0.399"
"  - 0                      ","510 (98.3%)","505 (97.3%)","1015 (97.8%)",""
"  - 1                      ","9 ( 1.7%)","14 ( 2.7%)","23 ( 2.2%)",""
"outcome_parkinson          ","","","","0.147"
"  - 0                      ","516 (99.4%)","510 (98.3%)","1026 (98.8%)",""
"  - 1                      ","3 ( 0.6%)","9 ( 1.7%)","12 ( 1.2%)",""
"outcome_parkinson_time     ","18.3 ± 262.9","28.3 ± 270.0","23.3 ± 266.4","0.544"
"person_age                 ","69.2 ±  6.1","69.7 ±  6.2","69.4 ±  6.2","0.142"
"age_group                  ","","","","0.911"
"  - 1                      ","2 ( 0.4%)","2 ( 0.4%)","4 ( 0.4%)",""
"  - 2                      ","40 ( 7.7%)","34 ( 6.6%)","74 ( 7.1%)",""
"  - 3                      ","182 (35.1%)","186 (35.8%)","368 (35.5%)",""
"  - 4                      ","295 (56.8%)","297 (57.2%)","592 (57.0%)",""
"cci                        "," 2.3 ±  0.9"," 2.4 ±  1.1"," 2.4 ±  1.0","0.162"
"cci_group                  ","","","","0.226"
"  - 1                      ","490 (94.4%)","476 (91.7%)","966 (93.1%)",""
"  - 2                      ","19 ( 3.7%)","27 ( 5.2%)","46 ( 4.4%)",""
"  - 3                      ","10 ( 1.9%)","16 ( 3.1%)","26 ( 2.5%)",""
"hypertension               ","","","","0.326"
"  - 0                      ","466 (89.8%)","455 (87.7%)","921 (88.7%)",""
"  - 1                      ","53 (10.2%)","64 (12.3%)","117 (11.3%)",""
"diabetes                   ","","","","0.431"
"  - 0                      ","480 (92.5%)","472 (90.9%)","952 (91.7%)",""
"  - 1                      ","39 ( 7.5%)","47 ( 9.1%)","86 ( 8.3%)",""
"dyslipidemia               ","","","","0.335"
"  - 0                      ","476 (91.7%)","466 (89.8%)","942 (90.8%)",""
"  - 1                      ","43 ( 8.3%)","53 (10.2%)","96 ( 9.2%)",""
"cardiovascular_disease     ","","","","0.643"
"  - 0                      ","455 (87.7%)","449 (86.5%)","904 (87.1%)",""
"  - 1                      ","64 (12.3%)","70 (13.5%)","134 (12.9%)",""
"peripheral_vascular_disease","","","","0.264"
"  - 0                      ","515 (99.2%)","510 (98.3%)","1025 (98.7%)",""
"  - 1                      ","4 ( 0.8%)","9 ( 1.7%)","13 ( 1.3%)",""
"copd                       ","","","","0.354"
"  - 0                      ","512 (98.7%)","507 (97.7%)","1019 (98.2%)",""
"  - 1                      ","7 ( 1.3%)","12 ( 2.3%)","19 ( 1.8%)",""
"asthma                     ","","","","1.000"
"  - 0                      ","505 (97.3%)","505 (97.3%)","1010 (97.3%)",""
"  - 1                      ","14 ( 2.7%)","14 ( 2.7%)","28 ( 2.7%)",""
"liver_disease              ","","","","1.000"
"  - 0                      ","505 (97.3%)","505 (97.3%)","1010 (97.3%)",""
"  - 1                      ","14 ( 2.7%)","14 ( 2.7%)","28 ( 2.7%)",""
"statin                     ","","","","0.729"
"  - 0                      ","443 (85.4%)","438 (84.4%)","881 (84.9%)",""
"  - 1                      ","76 (14.6%)","81 (15.6%)","157 (15.1%)",""
"antiplatelet               ","","","","0.738"
"  - 0                      ","436 (84.0%)","431 (83.0%)","867 (83.5%)",""
"  - 1                      ","83 (16.0%)","88 (17.0%)","171 (16.5%)",""
"anticoagulant              ","","","","1.000"
"  - 0                      ","510 (98.3%)","509 (98.1%)","1019 (98.2%)",""
"  - 1                      ","9 ( 1.7%)","10 ( 1.9%)","19 ( 1.8%)",""
"anticholinergic            ","","","","0.000"
